PID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
P048,677,41.63,30.2,50.35,16.84,677,19.35,93.65,73.86,62.19,12.7,6.06,0.44,1.03,0.44,0,3.84,6.65,15.36,7.24,2.22,13.88,10.49,6.35,9.16,1.77,19.2,3.4,4.87,4.58,1.03,2.95,0.89,31.17,0.44,20.09,3.1,1.92,2.07,3.4,1.62,9.01,0,1.48,0.59,0.89,0.3,0,0.3,0.15,0,0.15,0,10.49,2.51,0.3,0.15,0,0,1.77,7.98,0,0,0,0,0,0,0,0,2.07,0,0,2.07,0,0,7.09,4.73,1.77,0,0.15,2.95,0,0,0.3,0.59,0,0.59,0,0,0,0,0,0.59,4.28,6.65,0,0.89,5.76,0.15,0,0,1.03,5.61,6.2,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0
P049,977,7.76,90.4,52.95,58.7,977,11.87,95.6,81.68,67.45,22.31,12.38,3.17,1.23,5.83,0,2.15,9.93,13.72,4.81,0.1,13.82,9.31,9.31,11.57,1.43,19.86,5.22,3.28,3.68,3.07,0.61,0,27.84,1.02,17.71,3.68,2.25,2.35,4.4,2.87,4.61,0,3.28,2.87,0.41,0.72,0.61,0.1,0,0.1,0,0,16.58,3.17,0.31,0.1,0,0,0.92,12.49,0,0,0,0,1.54,0,0,1.54,2.66,0.82,0.1,1.43,0.31,0,0.31,0.2,0,0,0,0,0,0,0,1.02,1.43,1.33,0.2,0.1,0,0,0.31,0,11.36,7.37,0.2,1.13,5.22,0.31,0.2,0.41,3.07,1.54,7.37,1.33,0.1,0,0.1,0,0,3.07,0,0,0,0,3.07,0,0
P050,540,21.76,81.38,44.87,24.98,540,15.19,94.44,80,65.56,21.48,10.93,1.11,1.85,1.11,3.33,3.52,10.56,16.48,5.93,0.56,14.44,10.74,5.37,8.15,1.48,18.52,7.78,4.07,4.26,2.41,1.48,0.37,27.04,1.67,15.56,3.15,2.78,0.56,3.7,0.19,6.48,0,3.33,1.85,1.48,1.48,0.37,1.11,0,0,0,0,18.15,4.44,0.37,0.19,0,0.19,2.96,13.7,0.19,0,0.19,3.52,0.56,0,0,0.56,3.7,0,0,3.33,0.37,0,2.22,2.22,0,0.19,0,0,0,0,0,0.74,0.19,0.74,0.19,0,1.11,0.37,0.19,0.74,6.67,7.59,0.37,1.48,5.74,0,0,0.37,3.33,1.3,8.15,1.85,0.56,0.19,0.19,0.19,0,2.59,0,0,0,0,2.04,0.56,0
P051,442,51.51,69.07,24.13,11.1,442,17.87,83.48,67.19,56.33,9.73,4.75,0.45,0.23,1.58,0,2.49,4.98,16.97,10.18,2.71,12.44,9.95,7.01,11.54,0.45,13.8,7.24,5.88,2.71,0.68,0.45,1.58,16.97,0.23,8.82,0.9,1.58,1.58,1.13,1.36,1.81,0,2.26,0.68,1.58,0,0,0,0,0,0,0,8.82,2.26,0.23,0.23,0.23,0,1.13,5.88,0,0,0,0,0.68,0.68,0,0,1.58,0.45,0,1.13,0,0,1.36,0.23,0,0,0,0,0,0.45,0,0,0,0.23,0,0,0,0,0.68,0.45,5.88,11.54,0,0.9,10.41,0.45,0,0,1.36,1.58,7.69,0.45,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0
P052,875,20.5,43.42,52.03,26.19,875,17.94,93.49,76.34,65.71,17.6,8.11,2.06,1.03,1.03,1.26,2.17,9.49,14.29,7.66,0.91,14.86,13.94,6.51,9.37,2.51,20.46,4.34,3.43,6.51,1.37,0.69,4.57,24.8,0.8,12.69,1.37,1.94,1.26,4.23,1.37,4.91,0.11,2.51,1.49,1.03,0.46,0.34,0.11,0,0.11,0,0,11.31,2.4,0,0.11,0.11,0.23,1.26,8,0,0,1.26,0.11,4.57,3.54,1.03,0,1.71,0,0.23,0.34,0.23,0.91,0.34,0,0,0,0,0,0,0,0.11,0.34,0.23,0.11,0.23,0.11,0,0,0.34,0.23,6.17,11.31,0.91,1.94,7.66,0.91,0.34,0.11,2.97,2.29,9.03,2.17,0.8,0.23,0.11,0.46,0,7.09,0,0,0,0,7.09,0,0
P053,246,66.41,37.71,45.38,6.3,246,22.36,94.72,70.73,60.57,8.94,2.03,0.41,0,0.41,0,1.22,6.91,16.67,10.57,2.44,15.85,8.54,7.32,11.38,1.22,11.38,9.35,2.85,4.88,2.85,0,2.03,23.17,0.41,13.82,2.85,2.44,0.41,2.85,0.81,5.69,0,2.44,0.41,2.03,0.41,0.41,0,0,0,0,0,10.98,2.44,0,0,0.81,0.81,0.41,6.5,0,0,2.85,0.81,3.66,2.44,1.22,0,1.22,0,0,0.81,0.41,0,0.41,0,0,0,0,0,0,0.41,0,0.41,0,0,0,0,0,0,0,0.41,4.07,9.35,1.63,0.41,6.91,0,0,0.81,1.63,6.91,2.85,0,0,0,0,0,0,3.25,0,0,0,0,3.25,0,0
P056,762,8.22,98.97,12.61,61.52,762,16.14,86.75,73.75,62.99,21.92,12.86,1.05,5.77,3.67,0,2.36,9.06,16.27,4.59,1.44,12.2,11.94,8.14,8.4,1.31,19.55,4.07,2.62,8.92,7.22,0.79,0.92,26.25,0.66,15.88,3.81,4.59,1.71,3.94,1.44,3.28,0,3.15,2.76,0.13,0.52,0.26,0,0,0,0,0,17.59,3.94,0,0,0,0,1.31,13.25,0.26,0.39,0.13,0.13,1.44,0.26,0.13,1.05,3.67,1.05,0,1.97,1.44,0,0.39,0.13,0,0.13,0,0,0,0.26,0,1.31,0,0.26,0.26,0,0,0.52,0,0,7.35,3.81,0.66,0.39,2.49,0.26,0.13,0,2.49,2.23,7.61,2.1,0.39,0.13,0.26,0,0,3.54,0,0,0,0,3.41,0.13,0
P057,374,28.47,78.69,7.44,78.01,374,12.03,90.64,75.13,59.89,19.52,7.22,1.34,0,4.81,0.27,0.27,12.3,14.97,8.29,1.34,11.76,10.16,5.61,8.29,0.53,21.12,5.35,1.34,2.14,0.27,1.07,0.8,25.94,1.34,16.84,2.94,2.94,5.35,1.6,0.8,3.48,0.27,3.74,3.74,0,0,0,0,0,0,0,0,11.23,2.41,0.53,0.53,0,0,1.6,7.49,0,0.27,0.27,0,2.41,0.27,0,2.14,5.35,0,2.94,1.07,1.34,0,1.07,0,0,0,0,0,0,0.53,0,0,0.53,4.55,0,0,0,0,0,0.27,7.22,6.95,0,0.27,5.61,0,0,0.53,2.14,1.87,7.75,0.8,0,0,0,0,0,1.34,0,0,0,0,0.8,0.53,0
P058,425,48.84,26.06,22.09,68.38,425,18.59,84,71.76,57.88,11.06,2.35,0.94,0,0.47,0,0.94,8.71,15.06,8.47,0.24,14.35,8.47,8.71,10.35,1.18,16.71,7.29,3.06,1.88,0,0.47,1.41,27.06,0,18.35,2.12,7.53,3.06,2.59,1.88,2.59,0,3.53,3.29,0.24,0,0,0,0,0,0,0,3.29,1.65,0,0,0.47,0,0.94,1.65,0,0,0,0,0.47,0.47,0,0,2.82,0,0,1.65,1.65,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.24,0,0.71,0.24,0.24,4.71,8,0.24,1.41,6.12,0.71,0,0,3.76,3.76,4.24,0.47,0,0,0,0,0,1.41,0,0,0,0,1.18,0.24,0
P060,752,14.15,83.9,59.28,33.21,752,13.7,96.01,77.13,61.44,17.55,9.97,2.26,0,5.59,0,1.99,7.58,13.7,5.32,1.86,11.97,12.77,7.58,9.18,0.93,24.6,6.12,5.72,1.86,0.93,0.66,0.27,28.86,1.33,15.29,2.66,3.06,3.19,4.26,0.4,3.99,0,1.2,1.06,0.13,0.13,0.13,0,0,0,0,0,11.04,1.2,0.13,0.13,0,0,0.53,9.84,0.66,0,0.13,0.4,0.4,0,0,0.4,10.64,6.38,0.27,1.6,2.93,0,0.27,0,0,0,0,0,0,0.27,0,0.53,0.93,1.2,0,0,0,0,0.13,0,13.43,10.77,0.13,3.99,5.98,1.86,0.13,0.27,3.72,1.33,8.78,1.46,0.13,0.13,0,0,0,5.72,0,0,0,0,4.92,0.8,0
